AvgVelocity,Velocity Inlet,Mass,PressureDrop,Surface Area,X Cell Size,YZ Cell Size,,,,,absolute value,,,,,,,,absolute value,,,,
584.6592128,3000,131.0008454,6968.061703,24876.04477,17.5,17.5,,,131.6303626,-0.004805444,0.004805444,,131.113846,0.000862595,0.000862595,,26007.52714,0.045484818,0.045484818,,25309.42701,0.01742167,0.01742167
634.2432373,3250,131.0008454,8152.695235,24876.04477,17.5,17.5,,,131.6303626,-0.004805444,0.004805444,,131.113846,0.000862595,0.000862595,,26007.52714,0.045484818,0.045484818,,25309.42701,0.01742167,0.01742167
681.3536914,3500,131.0008454,9454.517355,24876.04477,17.5,17.5,,,131.6303626,-0.004805444,0.004805444,,131.113846,0.000862595,0.000862595,,26007.52714,0.045484818,0.045484818,,25309.42701,0.01742167,0.01742167
498.5193727,2500,126.815688,5114.224716,24024.42847,17.5,21.25,,,126.9394184,-0.000975671,0.000975671,,126.8491431,0.000263809,0.000263809,,24178.43215,0.006410295,0.006410295,,23720.28691,-0.012659679,0.012659679
549.0429038,2750,126.815688,6155.894026,24024.42847,17.5,21.25,,,126.9394184,-0.000975671,0.000975671,,126.8491431,0.000263809,0.000263809,,24178.43215,0.006410295,0.006410295,,23720.28691,-0.012659679,0.012659679
600.1565565,3000,126.815688,7410.499495,24024.42847,17.5,21.25,,,126.9394184,-0.000975671,0.000975671,,126.8491431,0.000263809,0.000263809,,24178.43215,0.006410295,0.006410295,,23720.28691,-0.012659679,0.012659679
649.9027825,3250,126.815688,8665.970344,24024.42847,17.5,21.25,,,126.9394184,-0.000975671,0.000975671,,126.8491431,0.000263809,0.000263809,,24178.43215,0.006410295,0.006410295,,23720.28691,-0.012659679,0.012659679
699.0091233,3500,126.815688,10030.04796,24024.42847,17.5,21.25,,,126.9394184,-0.000975671,0.000975671,,126.8491431,0.000263809,0.000263809,,24178.43215,0.006410295,0.006410295,,23720.28691,-0.012659679,0.012659679
499.8613769,2500,123.6691657,3957.100338,22375.01393,17.5,25,,,123.141631,0.004265693,0.004265693,,123.655421,-0.00011114,0.00011114,,22746.67299,0.01661045,0.01661045,,22639.11749,0.011803504,0.011803504
550.0059172,2750,123.6691657,4766.874942,22375.01393,17.5,25,,,123.141631,0.004265693,0.004265693,,123.655421,-0.00011114,0.00011114,,22746.67299,0.01661045,0.01661045,,22639.11749,0.011803504,0.011803504
601.4656242,3000,123.6691657,5761.309546,22375.01393,17.5,25,,,123.141631,0.004265693,0.004265693,,123.655421,-0.00011114,0.00011114,,22746.67299,0.01661045,0.01661045,,22639.11749,0.011803504,0.011803504
649.8484082,3250,123.6691657,6768.433244,22375.01393,17.5,25,,,123.141631,0.004265693,0.004265693,,123.655421,-0.00011114,0.00011114,,22746.67299,0.01661045,0.01661045,,22639.11749,0.011803504,0.011803504
696.5296087,3500,123.6691657,7656.04328,22375.01393,17.5,25,,,123.141631,0.004265693,0.004265693,,123.655421,-0.00011114,0.00011114,,22746.67299,0.01661045,0.01661045,,22639.11749,0.011803504,0.011803504
427.3892603,2500,143.5558166,3893.865963,32221.79203,21.25,10,,,143.5145343,0.000287569,0.000287569,,143.5409561,-0.000103517,0.000103517,,30815.52126,-0.043643469,0.043643469,,32080.07387,-0.004398209,0.004398209
470.5052013,2750,143.5558166,4714.173255,32221.79203,21.25,10,,,143.5145343,0.000287569,0.000287569,,143.5409561,-0.000103517,0.000103517,,30815.52126,-0.043643469,0.043643469,,32080.07387,-0.004398209,0.004398209
512.1877403,3000,143.5558166,5615.673216,32221.79203,21.25,10,,,143.5145343,0.000287569,0.000287569,,143.5409561,-0.000103517,0.000103517,,30815.52126,-0.043643469,0.043643469,,32080.07387,-0.004398209,0.004398209
555.670812,3250,143.5558166,6532.494442,32221.79203,21.25,10,,,143.5145343,0.000287569,0.000287569,,143.5409561,-0.000103517,0.000103517,,30815.52126,-0.043643469,0.043643469,,32080.07387,-0.004398209,0.004398209
600.2698683,3500,143.5558166,7632.115341,32221.79203,21.25,10,,,143.5145343,0.000287569,0.000287569,,143.5409561,-0.000103517,0.000103517,,30815.52126,-0.043643469,0.043643469,,32080.07387,-0.004398209,0.004398209
433.4047262,2500,134.9471071,3804.145017,27044.46167,21.25,13.75,,,135.2219243,-0.002036481,0.002036481,,134.5732409,-0.002770465,0.002770465,,27341.54331,0.010984935,0.010984935,,27262.00053,0.008043749,0.008043749
473.0459012,2750,134.9471071,4599.84066,27044.46167,21.25,13.75,,,135.2219243,-0.002036481,0.002036481,,134.5732409,-0.002770465,0.002770465,,27341.54331,0.010984935,0.010984935,,27262.00053,0.008043749,0.008043749
519.6670727,3000,134.9471071,5558.053172,27044.46167,21.25,13.75,,,135.2219243,-0.002036481,0.002036481,,134.5732409,-0.002770465,0.002770465,,27341.54331,0.010984935,0.010984935,,27262.00053,0.008043749,0.008043749
562.6095758,3250,134.9471071,6551.595655,27044.46167,21.25,13.75,,,135.2219243,-0.002036481,0.002036481,,134.5732409,-0.002770465,0.002770465,,27341.54331,0.010984935,0.010984935,,27262.00053,0.008043749,0.008043749
604.9150137,3500,134.9471071,7729.510961,27044.46167,21.25,13.75,,,135.2219243,-0.002036481,0.002036481,,134.5732409,-0.002770465,0.002770465,,27341.54331,0.010984935,0.010984935,,27262.00053,0.008043749,0.008043749
457.2678966,2500,128.6388998,4492.079272,24317.50748,21.25,17.5,,,129.2623582,-0.004846578,0.004846578,,128.8087598,0.00132044,0.00132044,,24973.78838,0.026988,0.026988,,24532.82062,0.008854244,0.008854244
503.0227278,2750,128.6388998,5371.387069,24317.50748,21.25,17.5,,,129.2623582,-0.004846578,0.004846578,,128.8087598,0.00132044,0.00132044,,24973.78838,0.026988,0.026988,,24532.82062,0.008854244,0.008854244
547.5581678,3000,128.6388998,6451.870161,24317.50748,21.25,17.5,,,129.2623582,-0.004846578,0.004846578,,128.8087598,0.00132044,0.00132044,,24973.78838,0.026988,0.026988,,24532.82062,0.008854244,0.008854244
596.243523,3250,128.6388998,7589.939249,24317.50748,21.25,17.5,,,129.2623582,-0.004846578,0.004846578,,128.8087598,0.00132044,0.00132044,,24973.78838,0.026988,0.026988,,24532.82062,0.008854244,0.008854244
641.1693624,3500,128.6388998,8879.467565,24317.50748,21.25,17.5,,,129.2623582,-0.004846578,0.004846578,,128.8087598,0.00132044,0.00132044,,24973.78838,0.026988,0.026988,,24532.82062,0.008854244,0.008854244
459.38349,2500,124.8258542,4406.286264,23121.19334,21.25,21.25,,,124.6558032,0.001362306,0.001362306,,124.7435852,-0.00065907,0.00065907,,23217.39567,0.004160786,0.004160786,,22787.51139,-0.014431865,0.014431865
508.0653716,2750,124.8258542,5431.1717,23121.19334,21.25,21.25,,,124.6558032,0.001362306,0.001362306,,124.7435852,-0.00065907,0.00065907,,23217.39567,0.004160786,0.004160786,,22787.51139,-0.014431865,0.014431865
551.1394595,3000,124.8258542,6354.881549,23121.19334,21.25,21.25,,,124.6558032,0.001362306,0.001362306,,124.7435852,-0.00065907,0.00065907,,23217.39567,0.004160786,0.004160786,,22787.51139,-0.014431865,0.014431865
596.9123408,3250,124.8258542,7582.246074,23121.19334,21.25,21.25,,,124.6558032,0.001362306,0.001362306,,124.7435852,-0.00065907,0.00065907,,23217.39567,0.004160786,0.004160786,,22787.51139,-0.014431865,0.014431865
644.2438347,3500,124.8258542,8783.71704,23121.19334,21.25,21.25,,,124.6558032,0.001362306,0.001362306,,124.7435852,-0.00065907,0.00065907,,23217.39567,0.004160786,0.004160786,,22787.51139,-0.014431865,0.014431865
500.7408919,2500,121.8210483,4409.616993,21473.49549,21.25,25,,,120.9263372,0.00734447,0.00734447,,121.7046001,-0.000955896,0.000955896,,21842.5456,0.017186308,0.017186308,,21586.47932,0.005261548,0.005261548
547.2280361,2750,121.8210483,5311.760669,21473.49549,21.25,25,,,120.9263372,0.00734447,0.00734447,,121.7046001,-0.000955896,0.000955896,,21842.5456,0.017186308,0.017186308,,21586.47932,0.005261548,0.005261548
606.9251389,3000,121.8210483,6334.810226,21473.49549,21.25,25,,,120.9263372,0.00734447,0.00734447,,121.7046001,-0.000955896,0.000955896,,21842.5456,0.017186308,0.017186308,,21586.47932,0.005261548,0.005261548
647.3203908,3250,121.8210483,7462.60955,21473.49549,21.25,25,,,120.9263372,0.00734447,0.00734447,,121.7046001,-0.000955896,0.000955896,,21842.5456,0.017186308,0.017186308,,21586.47932,0.005261548,0.005261548
701.7638907,3500,121.8210483,8685.404481,21473.49549,21.25,25,,,120.9263372,0.00734447,0.00734447,,121.7046001,-0.000955896,0.000955896,,21842.5456,0.017186308,0.017186308,,21586.47932,0.005261548,0.005261548
418.5867582,2500,141.0263122,3723.793202,32006.19475,25,10,,,141.3502418,-0.002296944,0.002296944,,141.1055554,0.000561904,0.000561904,,29786.88797,-0.069339914,0.069339914,,32213.68045,0.006482673,0.006482673
455.6874477,2750,141.0263122,4473.570118,32006.19475,25,10,,,141.3502418,-0.002296944,0.002296944,,141.1055554,0.000561904,0.000561904,,29786.88797,-0.069339914,0.069339914,,32213.68045,0.006482673,0.006482673
503.5189358,3000,141.0263122,5381.514109,32006.19475,25,10,,,141.3502418,-0.002296944,0.002296944,,141.1055554,0.000561904,0.000561904,,29786.88797,-0.069339914,0.069339914,,32213.68045,0.006482673,0.006482673
544.9786367,3250,141.0263122,6418.430368,32006.19475,25,10,,,141.3502418,-0.002296944,0.002296944,,141.1055554,0.000561904,0.000561904,,29786.88797,-0.069339914,0.069339914,,32213.68045,0.006482673,0.006482673
586.4514832,3500,141.0263122,7375.807311,32006.19475,25,10,,,141.3502418,-0.002296944,0.002296944,,141.1055554,0.000561904,0.000561904,,29786.88797,-0.069339914,0.069339914,,32213.68045,0.006482673,0.006482673
424.0618224,2500,132.5473496,3789.331973,27180.73782,25,13.75,,,133.1826897,-0.004793307,0.004793307,,132.4715521,-0.000571852,0.000571852,,26428.87267,-0.02766169,0.02766169,,27041.10703,-0.005137123,0.005137123
463.5288445,2750,132.5473496,4448.73525,27180.73782,25,13.75,,,133.1826897,-0.004793307,0.004793307,,132.4715521,-0.000571852,0.000571852,,26428.87267,-0.02766169,0.02766169,,27041.10703,-0.005137123,0.005137123
508.7481185,3000,132.5473496,5472.480022,27180.73782,25,13.75,,,133.1826897,-0.004793307,0.004793307,,132.4715521,-0.000571852,0.000571852,,26428.87267,-0.02766169,0.02766169,,27041.10703,-0.005137123,0.005137123
552.4883267,3250,132.5473496,6373.265955,27180.73782,25,13.75,,,133.1826897,-0.004793307,0.004793307,,132.4715521,-0.000571852,0.000571852,,26428.87267,-0.02766169,0.02766169,,27041.10703,-0.005137123,0.005137123
594.1758742,3500,132.5473496,7402.02575,27180.73782,25,13.75,,,133.1826897,-0.004793307,0.004793307,,132.4715521,-0.000571852,0.000571852,,26428.87267,-0.02766169,0.02766169,,27041.10703,-0.005137123,0.005137123
444.2150525,2500,127.0233504,3949.254859,23824.29861,25,17.5,,,127.3129978,-0.002280269,0.002280269,,126.9288604,-0.000743879,0.000743879,,24140.15425,0.01325771,0.01325771,,24108.57981,0.011932406,0.011932406
482.7431757,2750,127.0233504,4835.325268,23824.29861,25,17.5,,,127.3129978,-0.002280269,0.002280269,,126.9288604,-0.000743879,0.000743879,,24140.15425,0.01325771,0.01325771,,24108.57981,0.011932406,0.011932406
525.0003906,3000,127.0233504,5622.55049,23824.29861,25,17.5,,,127.3129978,-0.002280269,0.002280269,,126.9288604,-0.000743879,0.000743879,,24140.15425,0.01325771,0.01325771,,24108.57981,0.011932406,0.011932406
568.5156881,3250,127.0233504,6518.284146,23824.29861,25,17.5,,,127.3129978,-0.002280269,0.002280269,,126.9288604,-0.000743879,0.000743879,,24140.15425,0.01325771,0.01325771,,24108.57981,0.011932406,0.011932406
619.6040405,3500,127.0233504,7617.877449,23824.29861,25,17.5,,,127.3129978,-0.002280269,0.002280269,,126.9288604,-0.000743879,0.000743879,,24140.15425,0.01325771,0.01325771,,24108.57981,0.011932406,0.011932406
444.3406388,2500,123.0357267,3836.681728,22616.07336,25,21.25,,,122.7759126,0.002111697,0.002111697,,123.025844,-8.0324E-05,8.0324E-05,,22442.39057,-0.007679617,0.007679617,,22226.26074,-0.017236087,0.017236087
488.71823,2750,123.0357267,4568.606421,22616.07336,25,21.25,,,122.7759126,0.002111697,0.002111697,,123.025844,-8.0324E-05,8.0324E-05,,22442.39057,-0.007679617,0.007679617,,22226.26074,-0.017236087,0.017236087
532.6374354,3000,123.0357267,5563.907319,22616.07336,25,21.25,,,122.7759126,0.002111697,0.002111697,,123.025844,-8.0324E-05,8.0324E-05,,22442.39057,-0.007679617,0.007679617,,22226.26074,-0.017236087,0.017236087
577.9971943,3250,123.0357267,6447.01168,22616.07336,25,21.25,,,122.7759126,0.002111697,0.002111697,,123.025844,-8.0324E-05,8.0324E-05,,22442.39057,-0.007679617,0.007679617,,22226.26074,-0.017236087,0.017236087
619.564334,3500,123.0357267,7395.85716,22616.07336,25,21.25,,,122.7759126,0.002111697,0.002111697,,123.025844,-8.0324E-05,8.0324E-05,,22442.39057,-0.007679617,0.007679617,,22226.26074,-0.017236087,0.017236087
488.05179,2500,120.0991247,4582.115788,20791.94482,25,25,,,119.1026894,0.008296774,0.008296774,,120.1127472,0.000113427,0.000113427,,21113.4335,0.015462175,0.015462175,,20923.1475,0.006310265,0.006310265
535.8316434,2750,120.0991247,5320.370044,20791.94482,25,25,,,119.1026894,0.008296774,0.008296774,,120.1127472,0.000113427,0.000113427,,21113.4335,0.015462175,0.015462175,,20923.1475,0.006310265,0.006310265
586.1847936,3000,120.0991247,6463.870239,20791.94482,25,25,,,119.1026894,0.008296774,0.008296774,,120.1127472,0.000113427,0.000113427,,21113.4335,0.015462175,0.015462175,,20923.1475,0.006310265,0.006310265
628.5474304,3250,120.0991247,7659.960121,20791.94482,25,25,,,119.1026894,0.008296774,0.008296774,,120.1127472,0.000113427,0.000113427,,21113.4335,0.015462175,0.015462175,,20923.1475,0.006310265,0.006310265
683.1364962,3500,120.0991247,8770.321051,20791.94482,25,25,,,119.1026894,0.008296774,0.008296774,,120.1127472,0.000113427,0.000113427,,21113.4335,0.015462175,0.015462175,,20923.1475,0.006310265,0.006310265
